Name	Weapon type	Weapon category	Weapon group	Trait	Damage	Hands	Range	Reload	Bulk	Price	Level
Crescent Cross	Ranged	Martial	Bow	"Capacity 3, Combination, Parry"	1d6 P	1	30 ft.	1	L	4 gp	0
Crescent Cross	Melee	Martial	Knife	"Critical Fusion, Parry, Combination"	1d4 S	1			L	4 gp	0
Crossbow	Ranged	Simple	Crossbow		1d8 P	2	120 ft.	1	1	3 gp	0
Dagger	Melee	Simple	Knife	"Agile, Finesse, Thrown 10 ft., Versatile S"	1d4 P	1			L	2 sp	0
Dagger Pistol	Ranged	Martial	Firearm	"Combination, Concussive, Fatal d8, Uncommon"	1d4 P	1	30 ft.	1	L	8 gp	0
Dagger Pistol	Melee	Martial	Knife	"Agile, Critical Fusion, Finesse, Thrown 10 ft., Uncommon, Versatile S, Combination, Uncommon"	1d4 P	1			L	8 gp	0
Daikyu	Ranged	Advanced	Bow	"Propulsive, Uncommon"	1d8 P	1	80 ft.	0	2	8 gp	0
Dancer's Spear	Melee	Martial	Spear	"Backswing, Finesse, Reach, Sweep, Versatile B"	1d6 P	2			1	3 gp	0
Dandpatta	Melee	Martial	Sword	"Agile, Twin, Uncommon"	1d6 S	1			L	8 sp	0
Dart	Ranged	Simple	Dart	"Agile, Thrown"	1d4 P	1	20 ft.		L	1 cp	0
Dart Umbrella	Ranged	Martial	Dart	"Agile, Concealable, Nonlethal, Uncommon"	1 P	1	30 ft.	1	1	1 gp	0
Dogslicer	Melee	Martial	Sword	"Agile, Backstabber, Finesse, Goblin, Uncommon"	1d6 S	1			L	1 sp	0
Donchak	Melee	Advanced	Polearm	"Hampering, Reach, Reload 1, Tethered, Thrown 20 ft., Uncommon"	1d8 S	2			2	4 gp	0
Double-barreled Musket	Ranged	Martial	Firearm	"Concussive, Double Barrel, Fatal d10, Uncommon"	1d6 P	2	60 ft.	1	1	11 gp	1
Double-Barreled Pistol	Ranged	Martial	Firearm	"Concussive, Double Barrel, Fatal d8, Uncommon"	1d4 P	1	30 ft.	1	1	7 gp	0
Dragon Mouth Pistol	Ranged	Martial	Firearm	"Concussive, Scatter 5 ft., Uncommon"	1d6 P	1	20 ft.	1	1	9 gp	0
Dueling Pistol	Ranged	Martial	Firearm	"Concealable, Concussive, Fatal d10, Uncommon"	1d6 P	1	60 ft.	1	L	12 gp	1
Dueling Spear	Melee	Martial	Spear	"Disarm, Finesse, Uncommon, Versatile S"	1d8 P	2			2	2 gp	0
Dwarven Dorn-Dergar	Melee	Advanced	Flail	"Dwarf, Razing, Reach, Uncommon"	1d10 B	2			2	8 gp	0
Dwarven Scattergun	Ranged	Advanced	Firearm	"Concussive, Dwarf, Kickback, Scatter 10 ft., Uncommon"	1d8 P	2	50 ft.	1	2	10 gp	1
Dwarven Waraxe	Melee	Advanced	Axe	"Dwarf, Sweep, Two-Hand 1d12, Uncommon"	1d8 S	1			2	3 gp	0
Earthbreaker	Melee	Martial	Hammer	"Razing, Shove, Two-Hand d10, Versatile P"	1d6 B	1			2	4 gp	0
Elven Branched Spear	Melee	Martial	Spear	"Deadly d8, Elf, Finesse, Reach, Uncommon"	1d6 P	2			1	3 gp	0
Elven Curve Blade	Melee	Martial	Sword	"Elf, Finesse, Forceful, Uncommon"	1d8 S	2			2	4 gp	0
Explosive Dogslicer	Ranged	Advanced	Firearm	"Backstabber, Combination, Fatal d10, Goblin, Scatter 5 ft., Uncommon"	1d6 S	2	20 ft.	1	2	10 gp	1
Explosive Dogslicer	Melee	Advanced	Sword	"Agile, Backstabber, Critical Fusion, Finesse, Goblin, Uncommon, Combination, Uncommon"	1d6 S	2			2	10 gp	1
Exquisite Sword Cane	Melee	Martial	Sword	"Agile, Concealable, Finesse, Parry, Twin (Sheath)"	1d6 P	1			1	90 gp	4
Exquisite Sword Cane Sheath	Melee	Martial	Club	"Agile, Finesse, Parry, Twin (Sword)"	1d4 B	1			L		0
Falcata	Melee	Advanced	Sword	Fatal d12	1d8 S	1			1	3 gp	0
Falchion	Melee	Martial	Sword	"Forceful, Sweep"	1d10 S	2			2	3 gp	0
Fangwire	Melee	Martial	Brawling	"Agile, Backstabber, Deadly d8, Finesse, Grapple, Kobold, Uncommon"	1d4 S	1			L	4 gp	0
Fauchard	Melee	Martial	Polearm	"Deadly d8, Reach, Sweep, Trip"	1d8 S	2			2	"1 gp, 4 sp"	0
Feng Huo Lun	Melee	Advanced	Knife	"Agile, Disarm, Finesse, Monk, Parry, Twin, Uncommon, Versatile P"	1d4 S	1			L	2 gp	0
Fighting Fan	Melee	Martial	Knife	"Agile, Backstabber, Deadly d6, Finesse, Monk, Uncommon"	1d4 S	1			L	"1 gp, 1 sp"	0
Fighting Stick	Melee	Martial	Club	"Backswing, Halfling, Nonlethal, Shove, Uncommon"	1d6 B	1			1	5 sp	0
Filcher's Fork	Melee	Martial	Spear	"Agile, Backstabber, Deadly d6, Finesse, Halfling, Thrown 20 ft., Uncommon"	1d4 P	1			L	1 gp	0
Fire Lance	Ranged	Simple	Firearm	"Fatal d10, Uncommon"	1d6 P	2	10 ft.	2	2	5 gp	0
Fire Poi	Melee	Advanced	Flail	"Agile, Backswing, Finesse, Twin, Uncommon"	1d4 B + 1d4 F	1			L	5 gp	0
Firearm Ammunition (10 rounds)	Ranged	Ammunition	Firearm	Uncommon					L	1 sp	0
Firearm Ammunition (5 rounds)	Ranged	Ammunition	Firearm	Uncommon					L	1 sp	0
Fist	Melee	Unarmed	Brawling	"Agile, Finesse, Nonlethal, Unarmed"	1d4 B	1					0
Flail	Melee	Martial	Flail	"Disarm, Sweep, Trip"	1d6 B	1			1	8 sp	0
Flingflenser	Ranged	Advanced	Firearm	"Backstabber, Fatal d10, Goblin, Scatter 5 ft., Uncommon"	1d6 S	2	30 ft.	1	1	6 gp	0
Flintlock Musket	Ranged	Simple	Firearm	"Concussive, Fatal d10, Uncommon"	1d6 P	2	70 ft.	1	1	7 gp	0
Flintlock Pistol	Ranged	Simple	Firearm	"Concussive, Fatal d8, Uncommon"	1d4 P	1	40 ft.	1	1	6 gp	0
Flying Talon	Melee	Advanced	Flail	"Agile, Finesse, Kobold, Ranged Trip, Tethered, thrown 10 ft., Trip, Uncommon"	1d4 P	1			1	6 gp	1
Flyssa	Melee	Martial	Knife	"Agile, Finesse, Versatile P"	1d6 S	1			L	1 gp	0
Forked Bipod	Melee	Simple	Spear	"Agile, Deadly d6, Finesse"	1d4 P	1			L	3 sp	0
Frying Pan	Melee	Simple	Club	"Fatal d8, Halfling"	1d4 B	1			L	1 sp	0
Gada	Melee	Advanced	Club	"Backswing, Two-Hand d12, Vanara"	1d8 B	1			1	1 gp	0
Gaff	Melee	Martial	Club	"Trip, Versatile P"	1d6 B	1			1	1 gp	0
Gakgung	Ranged	Martial	Bow	"Deadly d8, Monk, Propulsive"	1d6 P	1	100 ft.	0	L	6 gp	0
Gauntlet	Melee	Simple	Brawling	"Agile, Free-Hand"	1d4 B	1			L	2 sp	0
Gauntlet Bow	Ranged	Martial	Bow	"Capacity 4, Free-Hand, Parry"	1d4 P	1	60 ft.	1	1	9 gp	0
Gill Hook	Melee	Martial	Spear	"Azarketi, Grapple, Reach, Uncommon"	1d10 P	2			2	2 gp	0
Glaive	Melee	Martial	Polearm	"Deadly d8, Forceful, Reach"	1d8 S	2			2	1 gp	0
Gnome Amalgam Musket	Ranged	Martial	Firearm	"Combination, Concussive, Fatal d10, Gnome, Uncommon"	1d6 P	2	50 ft.	2	2	10 gp	1
Gnome Amalgam Musket	Melee	Martial	Hammer	"Backswing, Critical Fusion, Gnome, Trip, Uncommon, Versatile P, Combination, Uncommon"	1d8 B	2			2	10 gp	1
Gnome Flickmace	Melee	Advanced	Flail	"Gnome, Reach, Sweep, Uncommon"	1d6 B	1			1	3 gp	0
Gnome Hooked Hammer	Melee	Martial	Hammer	"Gnome, Trip, Two-Hand 1d10, Uncommon, Versatile P"	1d6 B	1			1	2 gp	0
Greataxe	Melee	Martial	Axe	Sweep	1d12 S	2			2	2 gp	0
Greatclub	Melee	Martial	Club	"Backswing, Shove"	1d10 B	2			2	1 gp	0
Greatpick	Melee	Martial	Pick	Fatal 1d12	1d10 P	2			2	1 gp	0
Greatsword	Melee	Martial	Sword	Versatile P	1d12 S	2			2	2 gp	0
Griffon Cane	Melee	Martial	Club	"Backswing, Two-Hand d10"	1d6 B	1			L	1 gp	0
Guisarme	Melee	Martial	Polearm	"Reach, Trip"	1d10 S	2			2	2 gp	0
Gun Sword	Ranged	Martial	Firearm	"Combination, Concussive, Kickback, Uncommon"	1d10 P	2	30 ft.	1	2	13 gp	1
Gun Sword	Melee	Martial	Sword	"Critical Fusion, Uncommon, Versatile P, Combination, Uncommon"	1d8 S	2			2	13 gp	1
Halberd	Melee	Martial	Polearm	"Reach, Versatile S"	1d10 P	2			2	2 gp	0
Halfling Sling Staff	Ranged	Martial	Sling	"Halfling, Propulsive, Uncommon"	1d10 B	2	80 ft.	1	1	5 gp	0
Hammer Gun	Ranged	Martial	Firearm	"Combination, Concussive, Fatal d10, Uncommon"	1d6 P	2	60 ft.	1	2	13 gp	1
Hammer Gun	Melee	Martial	Hammer	"Critical Fusion, Shove, Uncommon, Combination, Uncommon"	1d10 B	2			2	13 gp	1
Hand Adze	Melee	Martial	Axe	"Agile, Forceful, Grippli, Sweep, Thrown 10 ft."	1d4 S	1			L	5 sp	0
Hand Cannon	Ranged	Simple	Firearm	"Modular B, P, or S, Uncommon"	1d6 modular	1	30 ft.	1	1	5 gp	0
Hand Crossbow	Ranged	Simple	Crossbow		1d6 P	1	60 ft.	1	L	3 gp	0
Harmona Gun	Ranged	Martial	Firearm	"Kickback, Uncommon"	1d10 B	2	150 ft.	1	2	10 gp	0
Harpoon	Ranged	Martial	Dart	"Tethered, Thrown"	1d8 P	2	30 ft.		1	1 gp	0
Hatchet	Melee	Martial	Axe	"Agile, Sweep, Thrown  10 ft."	1d6 S	1			L	4 sp	0
Heavy Crossbow	Ranged	Simple	Crossbow		1d10 P	2	120 ft.	2	2	4 gp	0
Hongali Hornbow	Ranged	Advanced	Bow	"Deadly d6, Propulsive, Uncommon"	1d8 P	1	40 ft.	0	2	11 gp	0
Hook Sword	Melee	Advanced	Sword	"Disarm, Monk, Parry, Trip, Twin, Uncommon"	1d6 S	1			1	3 gp	0
Horsechopper	Melee	Martial	Polearm	"Goblin, Reach, Trip, Uncommon, Versatile P"	1d8 S	2			2	9 sp	0
Injection Spear	Melee	Martial	Spear	"Injection, Reach, Uncommon"	1d8 P	2			1	3 gp	0
Javelin	Ranged	Simple	Dart	Thrown	1d6 P	1	30 ft.		L	1 sp	0
Jezail	Ranged	Martial	Firearm	"Concussive, Fatal Aim d12, Uncommon"	1d8 P	1	90 ft.	1	1	11 gp	1
Jiu Huan Dao	Melee	Martial	Sword	"Sweep, Uncommon"	1d8 S	1			1	9 sp	0
Juggling Club	Melee	Simple	Club	"Agile, Nonlethal, Thrown 20 ft., Uncommon"	1d4 B	1			L	1 sp	0
Kalis	Melee	Advanced	Sword	"Deadly d8, Uncommon, Versatile P"	1d8 S	1			1	3 gp	0
Kama	Melee	Martial	Knife	"Agile, Monk, Trip, Uncommon"	1d6 S	1			L	1 gp	0
Karambit	Melee	Advanced	Knife	"Agile, Fatal d8, Finesse, Uncommon, Versatile S"	1d4 P	1			L	2 gp	0
Katana	Melee	Martial	Sword	"Deadly d8, Two-Hand 1d10, Uncommon, Versatile P"	1d6 S	1			1	2 gp	0
Katar	Melee	Simple	Knife	"Agile, Deadly d6, Monk, Uncommon"	1d4 P	1			L	3 sp	0
Khakkara	Melee	Martial	Club	"Monk, Shove, Two-Hand d10, Uncommon, Versatile P"	1d6 B	1			1	2 gp	0
Khopesh	Melee	Martial	Sword	"Trip, Uncommon"	1d8 S	1			1	2 gp	0
Knuckle Duster	Melee	Simple	Brawling	"Agile, Free-Hand, Monk"	1d4 B	1			L	3 sp	0
Kris	Melee	Martial	Knife	"Agile, Deadly d8, Finesse"	1d4 P	1			L	7 sp	0
Kukri	Melee	Martial	Knife	"Agile, Finesse, Trip, Uncommon"	1d6 S	1			L	6 sp	0
Kusarigama	Melee	Martial	Knife	"Disarm, Monk, Reach, Trip, Uncommon, Versatile B"	1d8 S	2			1	2 gp	0
Lance	Melee	Martial	Spear	"Deadly d8, Jousting 1d6, Reach"	1d8 P	2			2	1 gp	0
Lancer	Ranged	Martial	Bow	"Capacity 2, Combination"	1d8 P	2	60 ft.	2	2	8 gp	0
Lancer	Melee	Martial	Spear	"Critical Fusion, Reach, Combination"	1d6 P	2			2	8 gp	0
Leiomano	Melee	Martial	Club	"Fatal d10, Uncommon, Versatile S"	1d6 B	1			1	2 gp	0
Light Hammer	Melee	Martial	Hammer	"Agile, Thrown 20 ft."	1d6 B	1			L	3 sp	0
Light Mace	Melee	Simple	Club	"Agile, Finesse, Shove"	1d4 B	1			L	4 sp	0
Light Pick	Melee	Martial	Pick	"Agile, Fatal 1d8"	1d4 P	1			L	4 sp	0
Lion Scythe	Melee	Martial	Knife	"Agile, Finesse, Trip, Uncommon"	1d6 S	1			L	1 gp	0
Long Air Repeater	Ranged	Simple	Firearm	"Kickback, Repeating, Uncommon"	1d4 P	2	60 ft.	0	1	9 gp	0
Long Hammer	Melee	Martial	Hammer	"Brace, Dwarf, Reach, Trip, Versatile P"	1d8 B	2			2	5 gp	0
Longbow	Ranged	Martial	Bow	"Deadly d10, Volley 30 ft."	1d8 P	1	100 ft.	0	2	6 gp	0
Longspear	Melee	Simple	Spear	Reach	1d8 P	2			2	5 sp	0
Longsword	Melee	Martial	Sword	Versatile P	1d8 S	1			1	1 gp	0
Mace	Melee	Simple	Club	Shove	1d6 B	1			1	1 gp	0
Mace Multipistol	Ranged	Martial	Firearm	"Capacity 3, Combination, Concussive, Fatal d8, Uncommon"	1d4 P	1	20 ft.	1	1	13 gp	0
Mace Multipistol	Melee	Martial	Club	"Critical Fusion, Finesse, Shove, Uncommon, Combination, Uncommon"	1d6 B	1			1	13 gp	0
Machete	Melee	Martial	Sword	"Deadly d8, Sweep"	1d6 S	1			L	7 sp	0
Magazine (Air Repeater)	Ranged	Ammunition	Firearm	Uncommon						6 sp	0
Magazine (Long Air Repeater)	Ranged	Ammunition	Firearm	Uncommon						8 sp	0
Main-gauche	Melee	Martial	Knife	"Agile, Disarm, Finesse, Parry, Versatile S"	1d4 P	1			L	5 sp	0
Mambele	Melee	Martial	Axe	"Deadly d8, Disarm, Thrown 20 ft., Uncommon"	1d6 S	1			1	6 sp	0
Maul	Melee	Martial	Hammer	Shove	1d12 B	2			2	3 gp	0
Meteor Hammer	Melee	Martial	Flail	"Backswing, Disarm, Reach, Trip"	1d8 B	2			2	3 gp	0
Mikazuki	Ranged	Martial	Bow	"Combination, Monk, Propulsive"	1d6 P	1	70 ft.	1	2	8 gp	0
Mikazuki	Melee	Martial	Flail	"Backswing, Disarm, Monk, Parry, Combination"	1d6 B	2			2	8 gp	0
Mithral Tree	Ranged	Martial	Firearm	"Concussive, Elf, Fatal d10, Parry, Uncommon"	1d6 P	2	150 ft.	1	1	9 gp	0
Monkey's Fist	Melee	Martial	Flail	"Finesse, Monk, Nonlethal"	1d6 B	1				1 sp	0
Morningstar	Melee	Simple	Club	Versatile P	1d6 B	1			1	1 gp	0
Naginata	Melee	Martial	Polearm	"Deadly d8, Reach, Uncommon, Versatile P"	1d8 S	2			2	3 gp	0
Nightstick	Melee	Simple	Club	"Agile, Finesse, Nonlethal, Parry, Uncommon"	1d4 B	1			L	1 gp	0
Nodachi	Melee	Advanced	Sword	"Brace, Deadly d12, Reach"	1d8 S	2			2	6 gp	0
Nunchaku	Melee	Martial	Club	"Backswing, Disarm, Finesse, Monk, Uncommon"	1d6 B	1			L	2 sp	0
Ogre Hook	Melee	Martial	Pick	"Deadly d10, Trip, Uncommon"	1d10 P	2			2	1 gp	0
Orc Knuckle Dagger	Melee	Martial	Knife	"Agile, Disarm, Orc, Uncommon"	1d6 P	1			L	7 sp	0
Orc Necksplitter	Melee	Advanced	Axe	"Forceful, Orc, Sweep, Uncommon"	1d8 S	1			1	2 gp	0
Panabas	Melee	Martial	Sword	"Forceful, Sweep, Two-Hand d10"	1d6 S	1			1	1 gp	0
Pantograph Gauntlet	Melee	Martial	Brawling	"Deadly d6, Monk, Reach, Shove, Uncommon"	1d4 B	1			L	2 gp	0
Pepperbox	Ranged	Martial	Firearm	"Capacity 3, Concussive, Fatal d8, Uncommon"	1d4 P	1	60 ft.	1	1	12 gp	0
Phalanx Piercer	Ranged	Advanced	Bow	"Concussive, Hobgoblin, Propulsive, Razing, Volley 30 ft."	1d10 P	1	80 ft.	1	2	10 gp	1
Pick	Melee	Martial	Pick	Fatal 1d10	1d6 P	1			1	7 sp	0
Piercing Wind	Ranged	Martial	Firearm	"Combination, Concussive, Fatal Aim d10, Uncommon"	1d6 P	1	40 ft.	1	1	15 gp	0
Piercing Wind	Melee	Martial	Sword	"Critical Fusion, Finesse, Sweep, Uncommon, Combination, Uncommon"	1d6 S	1			1	15 gp	0
Piranha Kiss	Melee	Martial	Knife	"Agile, Disarm, Finesse, Uncommon"	1d6 S	1			L	4 sp	0
Poi	Melee	Simple	Flail	"Agile, Backswing, Finesse, Nonlethal, Uncommon"	1d4 B	1			L	2 sp	0
Polytool	Melee	Martial	Sword	"Agile, Modular (B, P, or S), Uncommon"	1d6 modular	1			L	10 gp	1
Probing Cane	Melee	Martial	Club	"Finesse, Sweep"	1d6 B	1			L	5 sp	0
Ranseur	Melee	Martial	Polearm	"Disarm, Reach"	1d10 P	2			2	2 gp	0
Rapier	Melee	Martial	Sword	"Deadly d8, Disarm, Finesse"	1d6 P	1			1	2 gp	0
Rapier Pistol	Ranged	Martial	Firearm	"Backstabber, Combination, Concussive, Fatal d8, Uncommon"	1d4 P	1	30 ft.	1	1	10 gp	0
Rapier Pistol	Melee	Martial	Sword	"Critical Fusion, Deadly d8, Disarm, Finesse, Uncommon, Combination, Uncommon"	1d4 P	1			1	10 gp	0
Reinforced Frame	Melee	Simple	Club	"Agile, Attached, Free-Hand"	1d4 B	1				5 sp	0
Reinforced Stock	Melee	Martial	Club	"Attached to crossbow or firearm, Finesse, Two-Hand d8"	1d4 B	1 or 2			L	2 sp	0
Repeating Crossbow	Ranged	Advanced	Crossbow	"Repeating, Uncommon"	1d8 P	2	120 ft.	0	1	15 gp	1
Repeating Crossbow Magazine	Ranged	Ammunition	Bow	Uncommon					L	9 sp (price for 5 bolts)	0
Repeating Hand Crossbow	Ranged	Advanced	Crossbow	"Repeating, Uncommon"	1d6 P	1	60 ft.	0	L	10 gp	1
Repeating Hand Crossbow Magazine	Ranged	Ammunition	Bow	Uncommon					L	9 sp (price for 5 bolts)	0
Repeating Heavy Crossbow	Ranged	Martial	Bow	"Repeating, Uncommon"	1d10 P	2	180 ft.	1	2	20 gp	1
Repeating Heavy Crossbow Magazine	Ranged	Ammunition	Bow	Uncommon					L	9 sp (price for 5 bolts)	0
Rhoka Sword	Melee	Advanced	Sword	"Deadly d8, Two-Hand 1d10, Uncommon"	1d8 S	1			2	4 gp	0
Rope Dart	Melee	Martial	Dart	"Disarm, Finesse, Sweep, Tethered, Thrown 20 ft., Trip, Uncommon"	1d4 P	2			1	1 gp	0
Rotary Bow	Ranged	Martial	Bow	Capacity 4	1d8 P	1	80 ft.	1	1	8 gp	0
Rungu	Melee	Martial	Club	"Grippli, Shove, Thrown 30 ft."	1d6 B	1			L	4 sp	0
Sai	Melee	Martial	Knife	"Agile, Disarm, Finesse, Monk, Uncommon, Versatile B"	1d4 P	1			L	6 sp	0
Sansetsukon	Melee	Martial	Flail	"Backswing, Disarm, Monk, Parry, Uncommon"	1d8 B	2			2	2 gp	0
